ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
,,,16.0,"Make any desired changes to the voter
",Changes made,,,
,,,17.0,"Scroll down to the bottom and click ""NEXT""
","The Review screen is displayed
",,,
,,,18.0,"Check page
",The changes you made will be reflected on this page and highlighted in green (Only certain main fields are on this page so not all changes will be visible here e.g. Phone Number),,,
,,,19.0,"Select a Change Reason and click ""UPDATE REGISTRATION""
","A success notification is displayed and the user is taken to the Final Screen
",,,
,,,20.0,"Check page
","The changes you made will be reflected on this page (Only certain main fields are on this page so not all changes will be visible here e.g. Phone Number)
",,,
77392.0,Test Case,72373 - VM - Single Scan - Wireframe,,,,SG\Elections\Java\EMS\VM,Aden Wood <awood@gocivix.com>,Ready
,,,1.0,"Pre-requisite:
- Have an existing Voter
","
",,,
,,,2.0,"Access the EMS system
","Dashboard displayed
",,,
,,,3.0,"Navigate to Voter Management > Voter > Search
","Voter Search page is displayed
",,,
,,,4.0,"Use the search criteria to search for that voter
","Voter is displayed below
",,,
,,,5.0,"Click on the ""Actions"" ellipsis
","Options displayed
",,,
,,,6.0,"Click ""Scan And Print""",Scan/Print Process page is displayed,,,
,,,7.0,"Click ""Scan""",Single Scan page is displayed and the user will get a pop-up box asking them to download a driver if they haven't already,,,
,,,8.0,"Click ""Download""",Driver software will download,,,
,,,9.0,Install the Driver,Driver installed,,,
,,,10.0,Click on the link within the pop-up box to verify the installed driver,Driver verified,,,
,,,11.0,Check page,"The following fields will be present:
- Document Name 
- Document Type
- Voter ID
- Selection Source
- Start New Scan (Button)
- Load Local File (Button)
- Indexed
- Delete (Button)
- Upload Indexed (Button)
- Create Crop Copy (Signature) (Tick box)
- Cropping Tools
- Save Crop (Original) (Button)
- Save Crop (Signature)",,,
,,,12.0,"Check this page on different screen sizes and browsers
","The screen/UI looks good and fits on various screen sizes and browsers without issues
",,,
78404.0,Test Case,69476 - VM - Voter's Preferred Language Selection,,,,SG\Elections\Java\EMS\VM,Aden Wood <awood@gocivix.com>,Ready
,,,1.0,"Access the EMS system
","Dashboard displayed
",,,
,,,2.0,"Navigate to Voter Management > Voter > Search
","Voter Search page will be displayed
",,,
,,,3.0,"Click ""Search"" and then click ""Add""",Voter Registration page is displayed,,,
,,,4.0,Fill in all required fields,Fields filled,,,
,,,5.0,"Under the Voter Details section click on the ""Preferred Language"" dropdown","The dropdown will open with the following options (Possibility of more options in the future):- English
- Spanish
- Vietnamese
- Mandarin
",,,
,,,6.0,Select a Preferred Language,Language selected,,,
,,,7.0,"Scroll down and click ""Next""",Review Screen will be displayed and the Preferred Language will be shown,,,
,,,8.0,"Scroll down and click ""Register Voter""",Final Screen is displayed and the Preferred Language will be shown here too,,,
,,,9.0,"Navigate to Voter Management > Voter > Search
","Voter Search page will be displayed
",,,
,,,10.0,Use the search criteria to find the voter you just created,Voter listed,,,
,,,11.0,"Click on the ""Actions"" ellipsis next to the Voter",Options listed,,,
,,,12.0,"Click ""View""",View Voter Registration page is displayed,,,
,,,13.0,Check page,Preferred Language will be shown here,,,
,,,14.0,"Navigate to Voter Management > Voter > Search
","Voter Search page will be displayed
",,,
,,,15.0,"Use the search criteria to find the same voter
","Voter listed
",,,
,,,16.0,"Click on the ""Actions"" ellipsis next to the Voter
","Options listed
",,,
,,,17.0,"Click ""Edit""",Update Voter page is displayed,,,
,,,18.0,Under the Voter Details section select a different Preferred Language,Different Language selected,,,
,,,19.0,"Scroll down and click ""Next""",Review Screen is displayed and the updated Preferred Language is shown,,,
,,,20.0,"Scroll down and click ""Register Voter""
","Final Screen is displayed and the updated Preferred Language will be shown here too
",,,
81420.0,Test Case,69301 - VM - Participation - Voter Participation Add/Maintain,,,,SG\Elections\Java\EMS\VM,Cesar Pereira <cpereira@gocivix.com>,Ready
,,,1.0,"Pre-requisites:
- Have an existing Active Voter","
",,,
,,,2.0,"Access the EMS system
","Dashboard displayed
",,,
,,,3.0,"Navigate to Voter Management > Voter > Search
","Search Voter page is displayed
",,,
,,,4.0,Use the search criteria to find your existing Voter,Voter found,,,
,,,5.0,"Click on the ""Actions"" ellipsis next to the existing voter",Options displayed,,,
,,,6.0,"Click ""View""",View Voter page is displayed,,,
,,,7.0,"Click on the ""Participation History"" tab",Participation History area is displayed,,,
,,,8.0,"Click ""ADD""","The Add Participation page is displayed and the following fields are present in this order:

 - Election Date (required field)

 - Election Name (Required field)

 - Party (Primary Only)

 - Method of Request (required dropdown: choices to be Election Day, Absentee, UOCAVA, Vote Center)

 - Request Location (required dropdown: dependent on Method of Request like a specific polling location)

 - Ballot Sent Date (Required)

 - Ballot Received Date (Required)

 - Ballot Return Method (Required dropdown, dependent on method of request)

 - Ballot Status (Required)

 - Ballot Status Reason (required, dropdown dependent on Ballot Status)

 - Checkbox for ""Provisional"" ballot (optional)

 - If Provisional is checked then the below should display
*Provisional Status (Required)
*Provisional Status Reason (Optional)

 - Comments text box
",,,
,,,9.0,"Click ""CANCEL""",The user is taken back to the Participation History list and the record is not created,,,
,,,10.0,"Click ""ADD""","The Add Participation page is displayed
",,,
,,,11.0,"Click ""CREATE""",The record will not be created and all required fields will show as red,,,
,,,12.0,Fill in all required fields,Fields filled in,,,
,,,13.0,"Click ""CREATE""",The record will be successfully created and the user is taken back to the Participation History list where they can see the new record they just created,,,
,,,14.0,"Click on the ""Actions"" ellipsis next to the Participation History record you created ",Options displayed,,,
,,,15.0,"Click ""Edit""",Maintain Participation History page is displayed,,,
,,,16.0,"Make any desired change and click ""UPDATE""",The record will be updated successfully and you will be able to see the changes reflected in the Participation History list ,,,
,,,17.0,"Click on the ""Actions"" ellipsis next to the Participation History record you just updated
","Options displayed
",,,
,,,18.0,"Click ""Delete""",A confirmation box is displayed,,,
,,,19.0,"Click ""Cancel""",The record will not be deleted,,,
,,,20.0,"Click on the ""Actions"" ellipsis again
","Options displayed
",,,
,,,21.0,"Click ""Delete""
","A confirmation box is displayed
",,,
,,,22.0,"Click ""Ok""",The record will be deleted successfully,,,
,,,23.0,"In the navigation tabs click on ""Audit History""","All Participation History actions will be displayed here:
- Add
- Update
- Delete",,,
81706.0,Test Case,75350 - VM - Voter Registration - Business Rules for Business Address provided as the Residential Address,,,,SG\Elections\Java\EMS\VM\Voter,Aden Wood <awood@gocivix.com>,Ready
,,,1.0,"Pre-requisites:
- Have an existing Street Segment
- Have an existing Business Address
","
",,,
,,,2.0,"Access the EMS system
","Dashboard displayed
",,,
,,,3.0,"Navigate to Voter Management > Voter > Search
","Search Voter page is displayed
",,,
,,,4.0,Click SEARCH and then click ADD,Create Voter page is displayed,,,
,,,5.0,Scroll down to Residential Address and search for the street segment that the Business Address is on,Street segments listed,,,
,,,6.0,Select the street segment and then click SELECT,Street segment selected,,,
,,,7.0,"In the ""Street No."" fields enter a street number that is outside the business address range",Street number entered,,,
,,,8.0,Click SUBMIT,Address will be accepted,,,
,,,9.0,"In the ""Street No."" fields enter a street number that is inside the business address range
","Street number entered
",,,
,,,10.0,"Click SUBMIT
",The address will not be submitted and a message will display to the user stating that business addresses are not acceptable,,,
81724.0,Test Case,69396 - VM - View Voter - Order of Tabs and add a New Tab for Notes,,,,SG\Elections\Java\EMS\VM\Voter,Aden Wood <awood@gocivix.com>,Ready
,,,1.0,"Access the EMS system
","Dashboard displayed
",,,
,,,2.0,"Navigate to Voter Management > Voter > Search
","Search Voter page is displayed
",,,
,,,3.0,"Click SEARCH and then click ADD
","Create Voter page is displayed
",,,
,,,4.0,Fill in all required fields,Fields filled in,,,
,,,5.0,Click NEXT,Review screen is displayed,,,
,,,6.0,Scroll down to the bottom,Notes section is displayed,,,
,,,7.0,"In the ""Note"" field enter any text e.g. ""Test Note""",Text entered,,,
,,,8.0,Click REGISTER VOTER,Final screen is displayed and Voter has been created,,,
,,,9.0,"Navigate to Voter Management > Voter > Search
","Search Voter page is displayed
",,,
,,,10.0,Use the search criteria to find the voter you just created,Voter found,,,
,,,11.0,Next to the voter click the Actions ellipsis,Options displayed,,,
,,,12.0,"Click ""View""",View Voter page is displayed,,,
,,,13.0,Check page,"The navigation tabs will be displayed in the following order:
- Voter Information
- Absentee Ballots
- Participation
- Petition
- Correspondence
- Audit History
- Notes
- Voter Documents",,,
,,,14.0,Click on the Notes tab,Maintain Notes History page is displayed,,,
,,,15.0,Check page,The note you made during voter registration will be displayed here,,,
,,,16.0,"Navigate to Voter Management > Voter > Search
","Search Voter page is displayed
",,,
,,,17.0,"Use the search criteria to find the voter you just created
","Voter found
",,,
,,,18.0,"Next to the voter click the Actions ellipsis
","Options displayed
",,,
,,,19.0,"Click ""Update""",Update Voter page is displayed,,,
,,,20.0,Make any desired changes and click NEXT,Review screen is displayed,,,
,,,21.0,"Scroll down to the bottom
","Notes section is displayed
",,,
,,,22.0,"In the ""Note"" field enter any text e.g. ""Test Note""
","Text entered
",,,
,,,23.0,Choose a Change Reason and click UPDATE REGISTRATION,Final screen is displayed and Voter has been updated,,,
,,,24.0,"Navigate to Voter Management > Voter > Search
","Search Voter page is displayed
",,,
,,,25.0,"Use the search criteria to find the voter you just created
","Voter found
",,,
,,,26.0,"Next to the voter click the Actions ellipsis
","Options displayed
",,,
,,,27.0,"Click ""View""
","View Voter page is displayed
",,,
,,,28.0,"Click on the Notes tab
","Maintain Notes History page is displayed
",,,
,,,29.0,"Check page
","The note you made while updating the voter will be displayed here 
",,,
,,,30.0,Check listing of notes,The notes will be listed by time of creation (newest to oldest) ,,,
82492.0,Test Case,VM - Voter Registration - Signature/No Signature button displays,,,,SG\Elections\Java\EMS\VM\Voter,Michael Gallo <mgallo@gocivix.com>,Ready
,,,1.0,Navigate to 'Voter Registration': VM > Search > Search > Click 'Add',land on voter registration,,,
,,,2.0,Complete the registration of a new voter,Land on 'Final Activity' screen,,,
,,,3.0,Navigate back to voter search: VM > Search,"
",,,
,,,4.0,Search for the voter that was just created,Voter appears in the search results,,,
,,,5.0,Click 'Actions' > 'Update',"Land on 'Update Voter' page
Grayed out 'No Signature on File' button is displayed below voter details",,,
,,,6.0,"Navigate back to voter search, and search for the same voter","
",,,
,,,7.0,Click 'Actions' > 'View',Land on 'View Voter Registration' page,,,
,,,8.0,Scroll down and click 'Scan/print',Land on 'Single Scan' page,,,
,,,9.0,"Upload or Scan a file
Use the crop tool to crop a signature
Click 'Save Cropped Signature'
Select the cropped signature in the index
Click 'Upload Documents'",Signature is applied to the voter,,,
,,,10.0,"Navigate back to voter search, and search the same voter: VM > Search > Voter
",Voter appears in the search results.,,,
,,,11.0,"Click 'Actions' > 'Update'
","Land on 'Update Voter' page
'View Signature' appears below voter details
'No Signature on File' button no longer appears below voter details

",,,
,,,12.0,Click 'View Signature' button,Signature Modal/popup appears and displays the voter signature,,,
82675.0,Test Case,69346-Validate View Voter Top card information,,,,SG\Elections\Java,Sujatha Yelchuri <syelchuri@gocivix.com>,Ready
,,,1.0,Navigate to VM->Voter->Search->View,"View Voter registration top card must display below fields
1.Name 
2.Voter ID
3.Date of Birth (formatted as MM/DD/YYYY)
4.Age
5.Residential Address
6.Voter Status & Status Reason
7.Polling locations
8.Identification
9.Voter Registration Date
10.Eligible to Vote Date & Absentee Status
11.Political  Party
",,,
,,,2.0,Verify Top Voter Card details ,Must be fixed and displayed across all the tabs ,,,
,,,3.0,Validate that the details entered during voter registration match the information displayed on the View Voter screen.,Voter registration details must match the information displayed on the View Voter screen.,,,
,,,4.0,Name,"Must Display
Prefix
First Name
Middle Name
Last Name
Suffix

",,,
,,,5.0,"Voter ID

",Must display Voter id,,,
,,,6.0,Date of Birth ,Date of Birth (formatted as MM/DD/YYYY),,,
,,,7.0,Age,Must be calculated and displayed,,,
,,,8.0,Residential Address,"Must Display
Street Number
Street Number- Fraction
Street Number- AlphaNumeric
Street Name
Street Line 2
Unit Number
City
State
Zip Code ",,,
,,,9.0,Voter Status & Status Reason,"Voter Status
 Active
Inactive
Incomplete
Pending
Canceled
Status Reason (dependent on status)",,,
,,,10.0,Polling locations,Must display assigned polling location based on address,,,
,,,11.0,Identification,"Must display value entered during voter registration
 SSN 
State Id",,,
,,,12.0,Voter Registration Date,Must display the registration date,,,
,,,13.0,"Eligible to Vote Date & Absentee Status

",Must display value entered during voter registration,,,
,,,14.0,"Political  Party

",Must display value entered during voter registration,,,
,,,15.0,"
","
",,,
83676.0,Test Case, VM - Display Voter's Polling Location in Registration flow,,,,SG\Elections\Java\EMS\VM\Voter,Michael Gallo <mgallo@gocivix.com>,Ready
,,,1.0,"Navigate to Voter registration
VM > Search > Click 'Search'> Click 'Add'","
",,,
,,,2.0,"Fill all mandatory fields, then assign a valid address that has a valid precinct/polling place","After submitting address 'Polling Place' field  appears  in 'Voting Details' area, displaying the appropriate polling place for the precinct the address is tied to.",,,
,,,3.0,Click 'Next' ,"Land on 'Review' screen
'Polling Place' field appears in 'Precinct Details Review' area, displaying the appropriate polling place for the precinct the address is tied to.",,,
,,,4.0,"Fill out any mandatory fields, and click 'Register Voter'","Land on ''Final' screen
Polling place appears and displays the correct Polling place for the address previously submitted",,,
84480.0,Test Case,"Verify that the State ID field remains active and required when ""Drivers License/ State ID"" is selected from ID Type dropdown",,,,SG\Elections\Java,Shreya Nyapati <snyapati@gocivix.com>,Design
,,,1.0,"Given User is on the Voter registration page and select ""Drivers License/ State ID"" from ID Type dropdown",State ID field should remain active and required with validation active.,,,
84482.0,Test Case,"Verify that the State ID field is deactivated when ""US Military ID"" is selected from ID Type dropdown",,,,SG\Elections\Java,Shreya Nyapati <snyapati@gocivix.com>,Design
,,,1.0,"Given user is on the Voter Registration page and select ""US Military ID"" from ID Type dropdown",State ID field should become greyed-out or disabled and should no longer be required.,,,
84483.0,Test Case,"Verify that the State ID field is deactivated when ""US Passport"" is selected from ID Type dropdown",,,,SG\Elections\Java,Shreya Nyapati <snyapati@gocivix.com>,Design
,,,1.0,"Given user is on the voter registration page and selects ""US Passport"" from ID Type dropdown.",State ID field should become greyed-out or disabled and should no longer be required.,,,
84484.0,Test Case,"Verify that the State ID field is deactivated when ""Bank Statement"" is selected from ID Type dropdown",,,,SG\Elections\Java,Shreya Nyapati <snyapati@gocivix.com>,Design
,,,1.0,"Given user is on the voter registration page and select ""Bank Statement"" from ID Type dropdown.",State ID field should become greyed-out or disabled and should no longer be required.,,,
84485.0,Test Case,"Verify that the State ID field is deactivated when ""Utility Bill"" is selected from ID Type dropdown",,,,SG\Elections\Java,Shreya Nyapati <snyapati@gocivix.com>,Design
,,,1.0,"Given user is on the voter registration page and select ""Utility Bill"" from ID Type dropdown.",State ID field should become greyed-out or disabled and should no longer be required.,,,
84487.0,Test Case,"Verify that the State ID field is deactivated when ""Election ID Card"" is selected from ID Type dropdown",,,,SG\Elections\Java,Shreya Nyapati <snyapati@gocivix.com>,Design
,,,1.0,"Given user is on the voter registration page and select ""Election ID Card"" from ID Type dropdown.",State ID field should become greyed-out or disabled and should no longer be required.,,,
84490.0,Test Case,"Verify that the State ID field reactivates when ""Drivers License"" is selected after selecting another ID type",,,,SG\Elections\Java,Shreya Nyapati <snyapati@gocivix.com>,Design
,,,1.0,"Given user is on the voter registration page and select ""US Military ID"" from ID Type dropdown and change selection to ""Drivers License"".",State ID field should become active and required with validation active.,,,
84492.0,Test Case,"Verify that the State ID field reactivates when ""State ID"" is selected after selecting another ID type",,,,SG\Elections\Java,Shreya Nyapati <snyapati@gocivix.com>,Design
,,,1.0,"Given user is on the voter registration page and select ""US Passport"" from ID Type dropdown and change selection to ""State ID"". ",State ID field should become active and required with validation active.,,,
84493.0,Test Case,Verify that the ID type selection is stored correctly in voter records and reports,,,,SG\Elections\Java,Shreya Nyapati <snyapati@gocivix.com>,Design
,,,1.0,"Given user is on the voter registration page and select any ID type (e.g., ""Drivers License"") and submit form.",The selected ID type should be correctly stored in voter records and reflected in reports.,,,
84787.0,Test Case,VM - Healthcare Facility Address Indicator,,,,SG\Elections\Java,Michael Gallo <mgallo@gocivix.com>,Ready
,,,1.0,Pre-Test Data: You will need to locate or enter a 'Special Address' that is setup as a 'Health Care Facility'. This is done through the 'Special Address' screen within District Management. ,"
",,,
,,,2.0,"
 Navigate to 'Voter Registration'
 Voter Management > Search > 'Add'",Land on the 'Voter Registration' page,,,
,,,3.0,"Scroll down to 'Residential Address' and enter the HCF street in the 'Search Street Name' field. Click 'Search'

",Search modal appears with correct results,,,
,,,4.0,"Select the street from the list within the modal, and click 'Select'",Modal closes,,,
,,,5.0,Enter a valid Low-Hi address number for the HCF in the 'Street No' field. Click 'Submit',"The address is accepted, and 'Healthcare Facility (HCF)' Is displayed in red text beneath the 'City' field.",,,
,,,6.0,"Fill all other mandatory fields on the page, then click 'Next'
","Land on 'Review Screen'
Healthcare Facility (HCF)'  appears in red to the right of the residential address field.",,,
,,,7.0,Fill all mandatory fields on the page and click 'Register Voter',"Land on 'Final Screen'
'Healthcare Facility (HCF)'  is displayed in red text in  below the ""address"" field",,,
,,,8.0,"Navigate to the ' View Voter Registration' Screen
Voter Management > Voter Search > Search for the voter that added in the last step.",'Healthcare Facility (HCF)' is displayed beneath the 'Residential Address' field.,,,
86440.0,Test Case,VM-85979-Verify Party Field Appears on Voter Registration Review Screen,,,,SG\Elections\Java,Sujatha Yelchuri <syelchuri@gocivix.com>,Ready
,,,1.0,"login as  a Region User->Navigate to Voter search->Add new Voter -> 
Enter all the mandatory fields and Party information", All required fields for voter registration must be filled out,,,
,,,2.0,Navigate to Voter Registration Review Screen and Verify Party Affliation field,"Party Affliation field must be displayed accurately
Note:This field must be displayed only for QA_Base and IOWA should not be displayed in Texas QA",,,
,,,3.0,,,,,
87269.0,Test Case,VM- Verify Date of Last Voter-Initiated Activity field-New Voter Registration,,,,SG\Elections\Java,Sujatha Yelchuri <syelchuri@gocivix.com>,Design
,,,1.0,Navigate to 'Voter Registration': VM > Search > Search > Click 'Add',Voter registration Page must be displayed,,,
,,,2.0,Verify Date of Last Voter-Initiated Activity field is displayed on Voter registration section and prepopulates same value as Registration Date,Date of Last Voter-Initiated Activity field must be same as Registration Date for new voter registration,,,
,,,3.0,Complete the Registration and navigate to Final Screen ,Last Voter-Initiated Activity field must display current date,,,
,,,4.0,Navigate to Voter ->Voter Search->Enter the Registered Voter id ->Actions->Manage,"1.Date of Last Voter-Initiated Activity field must be displayed on View Voter Registration top card and and Voter information tab
2.The ""Date of Last Voter-Initiated Activity"" field must display the current date",,,
87271.0,Test Case,VM- Verify Date of Last Voter Initiated Activity field-Transfer Voter -County Clerk,,,,SG\Elections\Java,Sujatha Yelchuri <syelchuri@gocivix.com>,Ready
,,,1.0,Precondition-Login as Region User,"
",,,
,,,2.0,"Navigate VM-> Voter search->Select state radio button->Select an existing voter
from a different region->Actions->Update",Transfer Voter Page must be displayed,,,
,,,3.0,Verify the Date of Last Voter-Initiated Activity field is displayed for existing voter,Date of Last Voter-Initiated Activity field must be displayed,,,
,,,4.0,Continue with the update flow and click on Next,Review Screen must be displayed,,,
,,,5.0,"Select a change reason as ""County Clerk"" and ""Update Registration""","1.Date of Last Voter-Initiated Activity field must be displayed on Final Screen 2.The ""Date of Last Voter-Initiated Activity"" field should remain unchanged and not be updated.",,,
,,,6.0,Navigate to Voter ->Voter Search->Enter the Voter id ->Actions->Manage,"1.Date of Last Voter-Initiated Activity field must be displayed on View Voter Registration top card and and Voter information tab
2.The ""Date of Last Voter-Initiated Activity"" field should remain unchanged and not be updated.",,,
,,,7.0,"Note: Repeat the same steps by selecting change reason as 'Admin' ensure that the expected result remains the same as ""County Clerk"" ","
",,,
87276.0,Test Case,VM- Verify Date of Last Voter Initiated Activity field-Update Voter ,,,,SG\Elections\Java,Sujatha Yelchuri <syelchuri@gocivix.com>,Ready
,,,1.0,"Navigate VM-> Voter search->Select a existing voter in the system->
 Actions->Update",Update Voter Page must be displayed,,,
,,,2.0,Verify the Date of Last Voter-Initiated Activity field is displayed for existing voter,Date of Last Voter-Initiated Activity field must be displayed,,,
,,,3.0,Continue with the update flow and click on Next,Review Screen must be displayed,,,
,,,4.0,"select one of the change reasons from the dropdown, excluding ""Clerk"" or ""Admin","1.Date of Last Voter-Initiated Activity field must be displayed on Final Screen 2.The ""Date of Last Voter-Initiated Activity"" field must be updated to the current date",,,
,,,5.0,Navigate to Voter ->Voter Search->Enter the Voter id updated in Step 4 ->Actions->Manage,"1.Date of Last Voter-Initiated Activity field must be displayed on View Voter Registration top card and and Voter information tab
2.The ""Date of Last Voter-Initiated Activity"" field must be updated to the current date",,,
,,,6.0,"Navigate VM-> Voter search->Enter the Voter id updated in Step 4->
 Actions->Update","The ""Date of Last Voter-Initiated Activity"" field must be updated to the current date",,,
87279.0,Test Case,VM- Verify Date of Last Voter Initiated Activity field-Trasfer Voter ,,,,SG\Elections\Java,Sujatha Yelchuri <syelchuri@gocivix.com>,Ready
,,,1.0,Precondition-Login as Region User,"
",,,
,,,2.0,"Navigate VM-> Voter search->Select state radio button->Select an existing voter
from a different region->Actions->Update",Transfer Voter Page must be displayed,,,
,,,3.0,Verify the Date of Last Voter-Initiated Activity field is displayed for existing voter,Date of Last Voter-Initiated Activity field must be displayed,,,
,,,4.0,Continue with the update flow and click on Next,Review Screen must be displayed,,,
,,,5.0,"select one of the change reasons from the dropdown, excluding ""Clerk"" or ""Admin","1.Date of Last Voter-Initiated Activity field must be displayed on Final Screen 2.The ""Date of Last Voter-Initiated Activity"" field must be updated to the current date",,,
,,,6.0,Navigate to Voter ->Voter Search->Enter the Voter id updated in Step 4 ->Actions->Manage,"1.Date of Last Voter-Initiated Activity field must be displayed on View Voter Registration top card and and Voter information tab
2.The ""Date of Last Voter-Initiated Activity"" field must be updated to the current date",,,
,,,7.0,"Navigate VM-> Voter search->Enter the Voter id updated in Step 4->
 Actions->Update","The ""Date of Last Voter-Initiated Activity"" field must be updated to the current date",,,
,,,8.0,,,,,
87280.0,Test Case,VM- Verify Date of Last Voter Initiated Activity field-Update Voter -County Clerk,,,,SG\Elections\Java,Sujatha Yelchuri <syelchuri@gocivix.com>,Ready
,,,1.0,"Navigate VM-> Voter search->Select a existing voter in the system->
 Actions->Update",Update Voter Page must be displayed,,,
,,,2.0,Verify the Date of Last Voter-Initiated Activity field is displayed for existing voter,Date of Last Voter-Initiated Activity field must be displayed,,,
,,,3.0,Continue with the update flow and click on Next,Review Screen must be displayed,,,
,,,4.0,"Select a change reason as ""County Clerk"" and ""Update Registration""","1.Date of Last Voter-Initiated Activity field must be displayed on Final Screen 2.The ""Date of Last Voter-Initiated Activity"" field should remain unchanged and not be updated.",,,
,,,5.0,Navigate to Voter ->Voter Search->Enter the Voter id ->Actions->Manage,"1.Date of Last Voter-Initiated Activity field must be displayed on View Voter Registration top card and and Voter information tab
2.The ""Date of Last Voter-Initiated Activity"" field should remain unchanged and not be updated.",,,
,,,6.0,"Note: Repeat the same steps by selecting change reason as 'Admin' ensure that the expected result remains the same as ""County Clerk"" ","
",,,
88219.0,Test Case,EMS - VM - Voter Search,,,,SG\Elections\Java\EMS,Jorge Taveras <jtaveras@gocivix.com>,Design
,,,1.0,Open the application and login as county user and navigate to VM Module,VM home page is displayed,,,
,,,2.0,Click on the Voter button,Voter Search page is displayed,,,
,,,3.0,Select the search context: State or County from the County or State Search Selector dropdown.,"User can select State or County. If State is selected, the search queries the entire state; if County is selected, it filters by county.",,,
,,,4.0,"Fill in one or more search fields: 
 - Last Name 
 - First Name 
 - Date of Birth 
 - Driver's License/State ID 
 - SSN 
 - Street No. 
 - Street Name 
 - Apt/Unit No. 
 - City 
 - Zip Code 
 - Voter Status",Fields are filled with appropriate search criteria.,,,
,,,5.0,"Optionally, use wildcard search in any of the fields (e.g., %Jones, Jo%, %DES%).","Wildcard characters are used and partial matches are expected (e.g., %Jones returns ""Jones,"" ""Johnson"").",,,
,,,6.0,Click on the Search button.,The system processes the search query and displays results based on the entered search criteria.,,,
,,,7.0,Review the search results displayed in the results grid.,"The following details should be displayed for each voter: 
 - Last Name 
 - First Name 
 - Date of Birth 
 - Street Name 
 - City 
 - Zip Code 
 - Voter Status 
 - County (when logged in as a Region user) 
 - Precinct",,,
,,,8.0,"If search results are paginated, use the pagination controls to navigate between pages (e.g., Next, Previous).","Pagination should work, allowing users to navigate through multiple pages of search results.",,,
,,,9.0,Click the Manage option in the Actions menu next to any voter.,Clicking Manage opens the voter details screen for viewing voter information.,,,
,,,10.0,"Optionally, click Reset to clear all search fields.","The search form should reset, clearing all previously entered search criteria.",,,
