ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
,,,7.0,"Select the ""Edit"" option",Add/Update Business Address page is displayed,,,
,,,8.0,Change the data of a field or dropdown(ex:Low Range),"
",,,
,,,9.0,"Click on the ""UPDATE"" button",Business Address is updated successfully,,,
,,,10.0,"Click on the ""Actions"" ellipsis for the selected Business Address","The options (Edit,Delete) are displayed",,,
,,,11.0,"Select the ""Delete"" option",A pop-up window is displayed,,,
,,,12.0,"Select the ""OK"" button ",The selected Business Address is deleted succesfully,,,
89845.0,Test Case,Add/Maintain New Healthcare Facility,,,,SG\Elections\Java\EMS,Carla Arevilca <carevilca@gocivix.com>,Design
,,,1.0,"Pre-conditions:
- Have an existing Street with Segments
-Be a Region User","
",,,
,,,2.0,Go as a state user to District Management > Districts > Special Address,-Search Special Addresses page is displayed with the Region Dropdown pre-selected                                                             -Bussiness Address section is displayed as default,,,
,,,3.0,"Select the elements the Special Address mandatory fields(Street name, street segment)",-Region dropdown is selected by default                                    -Criteria is selected    ,,,
,,,4.0,Go to the Healthcare Facility section,Healthcare Facility section is displayed,,,
,,,5.0,"Click  on the  ""ADD"" button","-Add Healthcare Facility is displayed                                        -The criteria selected (Street, Street Segment) is pre-selected  ",,,
,,,6.0,Fill all the mandatory fields and dropdowns with valid data,-Healthcare Facility is created succesfully                                                       -User is taken back to the  Search Special Addresses page,,,
,,,7.0,Go to the Healthcare Facility section,Healthcare Facility section is displayed,,,
,,,8.0,"Click on the ""Actions"" ellipsis for the selected  Healthcare Facility","The options (Edit,Delete) are displayed",,,
,,,9.0,"Select the ""Edit"" option",Add/Update Healthcare Facility  page is displayed,,,
,,,10.0,Change the data of a field or dropdown(ex:ZIP code 5),Data is changed,,,
,,,11.0,"Click on the ""UPDATE"" button",Healthcare Facility is updated successfully,,,
,,,12.0,"Click on the ""Actions"" ellipsis for the updated  Healthcare Facility","The options (Edit,Delete) are displayed",,,
,,,13.0,"Select the ""Delete"" option",A pop-up window is displayed,,,
,,,14.0,"Select the ""OK"" button ",The selected Healthcare Facility is deleted succesfully,,,
89847.0,Test Case,Add/Maintain District,,,,SG\Elections\Java\EMS,Carla Arevilca <carevilca@gocivix.com>,Design
,,,1.0,"Pre-conditions:
- Be a Region user                                                                                                                                   -Have an existing District Type","
",,,
,,,2.0,Go as a region user to District Management > Districts > Districts,Search Voting Districts page is displayed ,,,
,,,3.0,"Click  on the  ""ADD"" button",Add Voting Districts  page is displayed,,,
,,,4.0,Fill all the mandatory fields and dropdowns with valid data,"
",,,
,,,5.0,"Click on ""SAVE""",-District  is created succesfully                                                       -User is taken back to the Search Voting Districts page,,,
,,,6.0,"Search for the   created  Street  by selecting the  correct criteria (District Type,Name or code) in the search criteria section",Criteria is selected ,,,
,,,7.0,"Click on ""SEARCH""",The created District will be displayed in the Grid,,,
,,,8.0,"Click on the ""Actions"" ellipsis for the selected District","The options (Edit,Delete) are displayed",,,
,,,9.0,"Select the ""Edit"" option",Update Voting District page is displayed,,,
,,,10.0,Change the data of a field or dropdown(ex:Code),Data is changed,,,
,,,11.0,"Click on the ""ADD""button in the Voting District Assigments section",Add District Region page is displayed with the District Name and Code,,,
,,,12.0,"Select a Region in the ""Region"" dropdown",Region is selected,,,
,,,13.0,Click on SAVE,-Region is displayed in the Voting District Assigments section                                                                       -User is redirected to the Update Voting District page,,,
,,,14.0,"Click on the ""UPDATE"" button",The District is updated succesfully and all the changes are made,,,
,,,15.0,"Search for the   created  Street  by selecting the  correct criteria (District Type,Name or code) in the search criteria section",Criteria is selected ,,,
,,,16.0,"Click on ""SEARCH""",The created District will be displayed in the Grid,,,
,,,17.0,"Click on the ""Actions"" ellipsis for the selected District","The options (Edit,Delete) are displayed",,,
,,,18.0,"Select the ""Edit"" option",Update Voting District page is displayed,,,
,,,19.0,"Click on the ""Actions"" ellipsis for the assigned region  in the Voting District Assigments section","The option ""Delete"" is displayed ",,,
,,,20.0,"Select the ""Delete"" option",The region assigned is deleted correctly,,,
,,,21.0,"Click on the ""UPDATE"" button",The District is updated succesfully and all the changes are made,,,
,,,22.0,"Search for the   created  Street  by selecting the  correct criteria (District Type,Name or code) in the search criteria section",Criteria is selected ,,,
,,,23.0,"Click on ""SEARCH""",The created District will be displayed in the Grid,,,
,,,24.0,"Click on the ""Actions"" ellipsis for the selected District","The options (Edit,Delete) are displayed",,,
,,,25.0,"Select the ""Delete"" option",A pop-up window is displayed,,,
,,,26.0,"Select the ""OK"" button ",The selected Voting District is deleted succesfully,,,
89955.0,Test Case,Add/Maintain District Types,,,,SG\Elections\Java\EMS,Carla Arevilca <carevilca@gocivix.com>,Design
,,,1.0,Go as a state user to District Management > Districts > District Type,Search District Type page is displayed,,,
,,,2.0,"Click  on the  ""ADD"" button",Add District Type page is displayed,,,
,,,3.0,Fill all the mandatory fields and options,"
",,,
,,,4.0,"Select the ""SAVE"" button",District Type is added and created succesfully,,,
,,,5.0,Search for the   created  District Type  by selecting the  District Type   Name in dropdown in the search criteria section,Criteria is selected ,,,
,,,6.0,"Click on ""SEARCH""",The created District Type  is  displayed  in the Grid,,,
,,,7.0,"Click on the ""Actions"" ellipsis for the selected District Type","The options (Edit,Delete) are displayed",,,
,,,8.0,"Select the ""Edit"" option",Add/Update District Type page is displayed,,,
,,,9.0,Change the data of a field or dropdown(ex:Rank),"
",,,
,,,10.0,"Click on the ""UPDATE"" button",The District Type is updated successfully,,,
,,,11.0,Search for the   created  District Type  by selecting the  District Type   Name in dropdown in the search criteria section,Criteria is selected ,,,
,,,12.0,"Click on ""SEARCH""",The created District Type  is  displayed  in the Grid,,,
,,,13.0,"Click on the ""Actions"" ellipsis for the selected District Type","The options (Edit,Delete) are displayed",,,
,,,14.0,"Select the ""Delete"" option",A pop-up window is displayed,,,
,,,15.0,"Select the ""OK"" button ",The selected District Type is deleted succesfully,,,
89957.0,Test Case,Add/maintain Precint and Street Segment  Precint Assigments,,,,SG\Elections\Java\EMS,Carla Arevilca <carevilca@gocivix.com>,Design
,,,1.0,"Pre-requisite:
- Have an existing Precinct                                                                                                                                                                                                                                     - Being a Region User ","
",,,
,,,2.0,Go to District Management > Districts > Precint,Search Precint page is displayed,,,
,,,3.0,"Select the ""ADD"" button",Add Precint page is displayed,,,
,,,4.0,"Select an Precint Type in the ""Precint Town"" dropdown and fill the required fields(Name, Code)",The Region dropdown is pre-selected by default,,,
,,,5.0,Click on Save,"-The precint is succefully created                                               -Page is converted into ""Update Precint"" page                                                        -The Precint Assignments section is available                          ",,,
,,,6.0,"Select the ""ADD"" button in the Street Segment assignment in the Precint Assignments section",Add Precint Street Segment page is displayed,,,
,,,7.0,"Select the data in ""Street Name""   and the ""Street Segment"" dropdowns",Data is selected,,,
,,,8.0,"Click on the ""SAVE"" button",Precint Street Segment is assigned succesfully,,,
,,,9.0,"Click on the ""UPDATE"" button",Precint is updated succesfully,,,
,,,10.0,"Select the ""SEARCH"" button",The created precint is displayed in the grid,,,
,,,11.0,"Click on the ""Actions"" ellipsis next to the created precint","The options (Edit, Delete) are displayed",,,
,,,12.0,"Select the ""EDIT"" option","The ""Update Precint"" page is displayed",,,
,,,13.0,"Go to ""Street Segments"" in the Precint Assignments section ",The added street segments are displayed  in the grid,,,
,,,14.0,"Click on the ""Actions"" ellipsis under the Precint assignments section",The option  (Delete) are displayed,,,
,,,15.0,"Select the ""Delete"" option",Street Segment is deleted,,,
,,,16.0,"Click on the ""UPDATE"" button",Precint is updated succesfully,,,
,,,17.0,Search for the   created Precint  by entering valid data into the search criteria section,Data is selected,,,
,,,18.0,"Select the ""SEARCH"" button",The created precint is displayed in the grid,,,
,,,19.0,"Click on the ""Actions"" ellipsis next to the created precint","The options (Edit, Delete) are displayed",,,
,,,20.0,"Select the ""Delete"" option",Validation message is displayed,,,
,,,21.0,"Select the ""OK"" option",Precint is succesfully deleted,,,
89959.0,Test Case,Add/maintain Precint and Districts Precint Assigments,,,,SG\Elections\Java\EMS,Carla Arevilca <carevilca@gocivix.com>,Design
,,,1.0,"Pre-requisite:
- Have an existing Precinct                                                                                                                                                                                                                                     - Being a Region User ","
",,,
,,,2.0,Go  to District Management > Districts > Precint,Search Precint page is displayed,,,
,,,3.0,"Select the ""ADD"" button",Add Precint page is displayed,,,
,,,4.0,"Select an Precint Type in the ""Precint Town"" dropdown and fill the required fields(Name, Code)",The Region dropdown is pre-selected by default,,,
,,,5.0,Click on Save,"-The precint is succefully created                                               -Page is converted into ""Update Precint"" page                                                        -The Precint Assignments section is available                          ",,,
,,,6.0,"Go to ""Districts"" in the Precint Assignments section","
",,,
,,,7.0,"Select the ""ADD"" button ",Add Precint  District page is displayed,,,
,,,8.0,"Fill the required dropdowns (District Type, District)",Data is selected,,,
,,,9.0,"Click on the ""SAVE"" button",Precint District is assigned succesfully,,,
,,,10.0,"Click on the ""UPDATE"" button",Precint is updated succesfully,,,
,,,11.0,"Select the ""SEARCH"" button",The created precint is displayed in the grid,,,
,,,12.0,"Click on the ""Actions"" ellipsis next to the created precint","The options (Edit, Delete) are displayed",,,
,,,13.0,"Select the ""EDIT"" option","The ""Update Precint"" page is displayed",,,
,,,14.0,"Go to ""Districts"" in the Precint Assignments section ",The added districts are displayed  in the grid,,,
,,,15.0,"Click on the ""Actions"" ellipsis under the Precint assignments section",The option  (Delete) are displayed,,,
,,,16.0,"Select the ""Delete"" option",District assigned is deleted,,,
,,,17.0,"Click on the ""UPDATE"" button",Precint is updated succesfully,,,
,,,18.0,Search for the   created Precint  by entering valid data into the search criteria section,Data is selected,,,
,,,19.0,"Select the ""SEARCH"" button",The created precint is displayed in the grid,,,
,,,20.0,"Click on the ""Actions"" ellipsis next to the created precint","The options (Edit, Delete) are displayed",,,
,,,21.0,"Select the ""Delete"" option",Validation message is displayed,,,
,,,22.0,"Select the ""OK"" option",Precint is succesfully deleted,,,
90031.0,Test Case,Validate Assign Voters to a Street and view Voters on that Street,,,,SG\Elections\Java\EMS,Carla Arevilca <carevilca@gocivix.com>,Design
,,,1.0,-Be a Region User                                                                                                                                                        -Have an existing street segment,"
",,,
,,,2.0,Go as a region user to Voter Management > Voter > SEARCH/ADD,Voter Search page is displayed,,,
,,,3.0,"Click on the button  ""SEARCH""","
",,,
,,,4.0,Select a Voter Search,Voters are displayed,,,
,,,5.0,Click on the three dots in the Actions column,"
",,,
,,,6.0,"Click on the option ""Update""",The “Update Voter” window is displayed,,,
,,,7.0,"Fill the ""Street name"" field with an existing street name in the Residential address section",Field is filled,,,
,,,8.0,"Select the ""SEARCH"" button",A window pops up with all the street segments displayed,,,
,,,9.0,Select one street segment by click on the   checkboxes in the Select column,Notice how you can select only one street segment,,,
,,,10.0,"Click on the ""Select"" button","-Notice how the window dissapears                                                -Notice how the street is displayed above the ""Street  name"" and ""SEARCH"" button with all the data of the selected street",,,
,,,11.0,"Select the ""SUBMIT"" button",Notice how the voter is now assignede to the selected street,,,
,,,12.0,Click on the Section Distric Management,"
",,,
,,,13.0,Click on the Button STREETS,The Street Segment window appears,,,
,,,14.0,Select the Street Name * ,Search for the street where a voter was assigned to you,,,
,,,15.0,Click on the button SEARCH,The selected Street is displayed,,,
,,,16.0,Select the street segments added to the voter,"
",,,
,,,17.0,"Click on the option with three dots

","
",,,
,,,18.0,"Click on the View Voters option

",Note that the voters are displayed with the street added,,,
90032.0,Test Case,Validate Try to assign a Voter to a Speical Address,,,,SG\Elections\Java\EMS,Carla Arevilca <carevilca@gocivix.com>,Design
90033.0,Test Case,Validate Required Fields Warning When Searching for a Street,,,,SG\Elections\Java\EMS,Carla Arevilca <carevilca@gocivix.com>,Design
,,,1.0,Go as a state user to District Management > Districts ,District Management page is displayed,,,
,,,2.0,"Select the ""Streets""",Search Street Segments page is displayed  ,,,
,,,3.0,"Select the ""SEARCH"" button in the Search criteria section without filling the ""Region""  and ""Street Name"" field","Notice how an error message is displayed ""Select a region and a street name""",,,
90139.0,Test Case,Validate Overlapping Segments Warning When Creating a Street,,,,SG\Elections\Java\EMS,Carla Arevilca <carevilca@gocivix.com>,Design
,,,1.0,"Pre-conditions:
- Be a Region user                                                                                                                          -Have existing Streets with Street Segments","
",,,
,,,2.0,Go as a region user to District Management > Districts > Streets,Search Street Segments page is displayed with the Region Dropdown pre-selected,,,
,,,3.0,Search for a Street  by selecting the Street Name in dropdown in the search criteria section,Criteria is selected ,,,
,,,4.0,Search for a Street  Segment by selecting the Street Segment in dropdown in the search criteria section,"
",,,
,,,5.0,"Click on ""SEARCH""",The streets are displayed with their segments,,,
,,,6.0,"Click  on the  ""ADD"" button",Add Street Segment page is displayed,,,
,,,7.0,Fill in the corresponding fields with data that overlaps with the previously created ones,Fields are selected ,,,
,,,8.0,"Click on ""SAVE""",-A validation message is displayed indicating that street segments overlap,,,
90164.0,Test Case,Permissions/Restrictions as a State User - Districts,,,,SG\Elections\Java\EMS,Aden Wood <awood@gocivix.com>,Design
,,,1.0,"Pre-conditions:
- User is logged in as a State User
NOTE: (Please refer to the other District Management test cases to fully understand the functionalities mentioned below)","
",,,
,,,2.0,Navigate to District Management > Districts,Districts page is displayed,,,
,,,3.0,Check page,"State Users only have access to the following areas:
- Regions
- County
- Town
- Streets
- District Type",,,
,,,4.0,"Click on ""Region""",The user has full access to Region functionalities ,,,
,,,5.0,"Return to the Districts homepage and click on ""County""",The user has full access to County functionalities ,,,
,,,6.0,"Return to the Districts homepage and click on ""Town""",The user has full access to Town functionalities ,,,
,,,7.0,"Return to the Districts homepage and click on ""Streets""",The user can search and view all Regions and their Streets but cannot edit them or add new Streets,,,
,,,8.0,"Return to the Districts homepage and click on ""District Type""",The user has full access to District Type functionalities ,,,
90174.0,Test Case,Permissions/Restrictions as a Region User - Districts,,,,SG\Elections\Java\EMS,Aden Wood <awood@gocivix.com>,Design
,,,1.0,"Pre-conditions:
- User is logged in as a Region User
NOTE: (Please refer to the other District Management test cases to fully understand the functionalities mentioned below)","
",,,
,,,2.0,Navigate to District Management > Districts,Districts page is displayed,,,
,,,3.0,Check page,"State Users only have access to the following areas:
- County
- Town
- Streets
- Special Address
- District Type
- District
- Precinct",,,
,,,4.0,"Click on ""County""",The User can only view and edit Counties that are assigned to the Region they are logged in as,,,
,,,5.0,"Return to the Districts homepage and click on ""Town""",The User can only view and edit Towns that are assigned to the County or Region they are logged in to. They can also add new Towns to these existing Counties,,,
,,,6.0,"Return to the Districts homepage and click on ""Streets""",The User can only view and edit Streets that are in the Region they are logged in to. They can also add new Steets to that Region,,,
,,,7.0,"Return to the Districts homepage and click on ""Special Address""",The User can only view and edit Special Addresses that are in the Region they are logged in to. They can also add new Special Addresses to that Region,,,
,,,8.0,"Return to the Districts homepage and click on ""District Type""",The user has full access to District Type functionalities ,,,
,,,9.0,"Return to the Districts homepage and click on ""District""",The user has full access to District functionalities ,,,
,,,10.0,"Return to the Districts homepage and click on ""Precinct""",The User can only view and edit Precincts that are in the Region they are logged in to. They can also add new Precincts to that Region,,,
90184.0,Test Case,Assign Districts to Region,,,,SG\Elections\Java\EMS,Aden Wood <awood@gocivix.com>,Design
,,,1.0,"Pre-conditions:
- Have an existing Region
- Have an existing District
- Be logged in as a Region User for that existing Region","
",,,
,,,2.0,Navigate to District Management > Districts > District,District page is displayed,,,
,,,3.0,Use the search criteria to find your existing District,District found,,,
,,,4.0,Click on the Actions ellipsis next to your existing District,Options displayed,,,
,,,5.0,"Click ""Edit""",Update Voting District page is displayed,,,
,,,6.0,"Click on ""ADD"" under the Regions tab in the Voting District Assignments area",District Region page is displayed,,,
,,,7.0,"From the Region dropdown, select your existing Region",Region selected,,,
,,,8.0,"Click ""SAVE""",The Region is added and the user is taken back to the Update Voting District page,,,
,,,9.0,"Click ""UPDATE""",The user will receive a success message and the District will be updated successfully with your new Region assignment,,,
90425.0,Test Case,View Voting Details when Registering a Voter,,,,SG\Elections\Java\EMS,Aden Wood <awood@gocivix.com>,Design
,,,1.0,"Pre-conditions:
- Have an existing Region
- Have an existing voter in that Region
- Have an existing Street/Street Segment in that Region
- Have an existing District","
",,,
,,,2.0,Log in as a Region User,Region User logged in,,,
,,,3.0,Navigate to District Management > Districts > Precincts,Precincts page will be displayed,,,
,,,4.0,"Click ""ADD""",Add Precinct page is displayed,,,
,,,5.0,Fill in all required fields,Required fields filled in,,,
,,,6.0,"Click ""SAVE""",Precinct will be created,,,
,,,7.0,"In the Precinct Assignments area, click ""ADD"" under the Street Segments tab ",Precinct Street Segment page is displayed,,,
,,,8.0,Select the Street name of your existing Street,Street Name selected,,,
,,,9.0,Select the Street Segment of your existing Street,Street Segment selected,,,
,,,10.0,"Click ""SAVE""",The Street Segment will be assigned to the Precinct and the user is taken back to the Precinct page,,,
,,,11.0,"In the Precinct Assignments area, select the ""Districts"" tab and click ""ADD""",Precinct District page is displayed,,,
,,,12.0,Select the District Type of your existing District ,District Type selected,,,
,,,13.0,Select the District name of your existing District,District name selected,,,
,,,14.0,"Click ""SAVE""",The District will be assigned to the Precinct and the user will be taken back to the Precinct page,,,
,,,15.0,"Click ""UPDATE""",The Precinct will be successfully updated and the user is taken back to the Precinct search page,,,
,,,16.0,Navigate to Voter Management > Voter > Search/Add,Voter Search page is displayed,,,
,,,17.0,"Enter any First Name, Last Name, and Date of Birth",Details entered,,,
,,,18.0,"Click ""SEARCH""","Any voters that match these details will be shown, if not a ""No results found"" message will be displayed. The ""ADD"" button will now also be enabled",,,
,,,19.0,"Click ""ADD""",The user will be taken to Voter Registration page will the previous details pre-filled,,,
,,,20.0,Fill in all other required fields,Fields filled in,,,
,,,21.0,"Under the Residential Address section, search for your existing street name ",A list of results will be displayed and the precinct you created will be shown on your existing Street Segment,,,
,,,22.0,Select your existing Street Segment,Street Segment selected,,,
,,,23.0,"In the ""Street No."" fields, enter a valid Street number",Street number entered,,,
,,,24.0,"Click ""SUBMIT""",The Voting Details area will open up below and display your existing District and Precinct,,,
,,,25.0,"Scroll down to the bottom of the page and click ""NEXT""",The Review Screen will be displayed,,,
,,,26.0,Scroll down to the Precinct Details Review area,Your existing District and Precinct will be displayed here also,,,
,,,27.0,Scroll down and select an NVRA Code,NVRA Code selected,,,
,,,28.0,"Click ""REGISTER VOTER""",The Final Screen is displayed,,,
,,,29.0,Check page,Your existing Districts and Precincts will be displayed here too,,,
90512.0,Test Case,Add street with multiple Low/High/Overlapping streets and validate,,,,SG\Elections\Java\EMS,Carla Arevilca <carevilca@gocivix.com>,Design
,,,1.0,"Pre-conditions:
- Be a Region user ","
",,,
,,,2.0,"Scenario 1:
Add street with multiple Low/High:                                                                                                    Go as a region user to District Management > Districts > Streets",Search Street Segments page is displayed with the Region Dropdown pre-selected,,,
,,,3.0,"Click on the button ""ADD""","The form for 
Add / Update Streets and Segments",,,
,,,4.0,Enter data in the required fields,"Required fields:  Street Name*
Street Type*
Side*
Zip Code 5*
Low Range*
High Range*",,,
,,,5.0,"Enter invalid data in the fields
Low Range*
High Range*","Enter data:
- numbers odd
- Negative numbers
- Incorrect data",,,
,,,6.0,"Click in the button ""SAVE""","- A validation message is displayed indicating :  For an EVEN Side, Low range and High range must be an even number.",,,
,,,7.0,"Scenario 2:
Overlapping streets:                                                                                               Search for a Street  by selecting the Street Name in dropdown in the search criteria section",        Criteria is selected ,,,
